institution,country,arwu_rank,arwu_score,tuition_in_state_usd,tuition_out_state_usd,total_cost_usd,uk_home_fee_gbp,uk_intl_fee_gbp,price_usd,rank,rank_percentile,price_percentile,united_states_rank_percentile,united_states_price_percentile,united_kingdom_rank_percentile,united_kingdom_price_percentile,value_score,united_states_value_score,united_kingdom_value_score
Academy of Art University,United States,401,0.8,28024.0,28024.0,47195.0,,,28024.0,401,16.849015317286653,40.91903719912472,13.436692506459949,39.276485788113696,,,33.7417943107221,32.351421188630496,
Biola University,United States,7,60.4,46704.0,46704.0,58430.0,,,46704.0,7,96.06126914660832,83.80743982494529,95.60723514211887,81.13695090439276,,,64.11378555798687,64.90956072351422,
California Baptist University,United States,63,25.5,39720.0,39720.0,52408.0,,,39720.0,63,46.389496717724285,71.99124726477024,38.759689922480625,67.44186046511628,,,39.03719912472647,36.27906976744187,
California Institute of Technology,United States,8,59.5,63255.0,63255.0,83598.0,,,63255.0,8,94.74835886214443,96.06126914660832,94.05684754521964,95.34883720930233,,,58.42450765864333,58.29457364341085,
California Lutheran University,United States,63,25.5,50670.0,50670.0,63768.0,,,50670.0,63,46.389496717724285,86.43326039387308,38.759689922480625,83.97932816537468,,,33.260393873085334,29.664082687338503,
California State University-Stanislaus,United States,63,25.5,7826.0,19706.0,18542.0,,,19706.0,63,46.389496717724285,20.13129102844639,38.759689922480625,21.705426356589147,,,59.78118161925602,54.57364341085272,
California State University-Chico,United States,63,25.5,8064.0,19944.0,25590.0,,,19944.0,63,46.389496717724285,20.787746170678336,38.759689922480625,22.22222222222222,,,59.518599562363235,54.366925064599485,
California State University-Fresno,United States,63,25.5,6980.0,18860.0,18650.0,,,18860.0,63,46.389496717724285,15.973741794310722,38.759689922480625,17.571059431524546,,,61.44420131291028,56.22739018087856,
California State University-Fullerton,United States,63,25.5,7073.0,18953.0,16767.0,,,18953.0,63,46.389496717724285,16.849015317286653,38.759689922480625,18.6046511627907,,,61.094091903719914,55.81395348837209,
California State University-East Bay,United States,63,25.5,7055.0,18935.0,22803.0,,,18935.0,63,46.389496717724285,16.630196936542667,38.759689922480625,18.34625322997416,,,61.18161925601751,55.91731266149871,
California State University-Long Beach,United States,63,25.5,7008.0,18888.0,20310.0,,,18888.0,63,46.389496717724285,16.192560175054705,38.759689922480625,17.829457364341085,,,61.35667396061268,56.12403100775194,
California State University-Northridge,United States,63,25.5,7095.0,18975.0,20317.0,,,18975.0,63,46.389496717724285,17.067833698030636,38.759689922480625,18.863049095607234,,,61.006564551422315,55.71059431524549,
